n,ID,ID_next,length,area,lake,endorheic,S_0,S_max,Coeff,power,lake_type,slope,target_vol,lake_type_for_target_vol
114,3011229,3036322.0,21232.29157399883,424982846.6578578,0.0,0.0,1000000.0,2125914233.289289,0.01,1.5,0.0,0.0001,0.0,0.0
115,3011269,3044054.0,39606.6458041775,423697223.96854633,0.0,0.0,1000000.0,2119486119.8427317,0.01,1.5,0.0,0.0001,0.0,0.0
116,3011312,3039403.0,9035.30913692042,429458588.25310665,0.0,0.0,1000000.0,2148292941.2655334,0.01,1.5,0.0,0.0001,0.0,0.0
117,3011404,3026061.0,18758.321497602155,431720236.21081495,0.0,0.0,1000000.0,2159601181.054075,0.01,1.5,0.0,0.0001,0.0,0.0
118,3011479,3030421.0,17799.769199709277,427274910.51628375,0.0,0.0,1000000.0,2137374552.5814188,0.01,1.5,0.0,0.0001,0.0,0.0
119,3011611,3032656.0,32711.24100789982,434257787.6489723,0.0,0.0,1000000.0,2172288938.2448616,0.01,1.5,0.0,0.0001,0.0,0.0
120,3011812,3041524.0,39753.54029768281,435156106.474002,0.0,0.0,1000000.0,2176780532.37001,0.01,1.5,0.0,0.0001,0.0,0.0
121,3011834,3025430.0,8370.47822862779,438877657.26613206,0.0,0.0,1000000.0,2195388286.3306603,0.01,1.5,0.0,0.0001,0.0,0.0
122,3011981,3026314.0,16175.303251311443,446496520.668322,0.0,0.0,1000000.0,2233482603.34161,0.01,1.5,0.0,0.0001,0.0,0.0
123,3012007,7007291.0,1.0,403234659.4965148,0.0,0.0,1000000.0,2017173297.482574,0.01,1.5,0.0,0.0001,0.0,0.0
124,3012442,3031394.0,17860.289414531777,457951386.25826746,0.0,0.0,1000000.0,2290756931.2913375,0.01,1.5,0.0,0.0001,0.0,0.0
125,3012462,3026856.0,20415.73982911509,456900624.0760119,0.0,0.0,1000000.0,2285503120.3800592,0.01,1.5,0.0,0.0001,0.0,0.0
126,3012500,3031127.0,36213.9588728993,455178193.86067474,0.0,0.0,1000000.0,2276890969.303374,0.01,1.5,0.0,0.0001,0.0,0.0
127,3012506,3044021.0,34658.46039680464,459051420.6194347,0.0,0.0,1000000.0,2296257103.0971737,0.01,1.5,0.0,0.0001,0.0,0.0
128,3012554,3033832.0,5806.062644050226,460774886.51716006,0.0,0.0,1000000.0,2304874432.5858,0.01,1.5,0.0,0.0001,0.0,0.0
129,3012631,7007701.0,16713.032732619857,456082420.934636,0.0,0.0,1000000.0,2281412104.67318,0.01,1.5,0.0,0.0001,0.0,0.0
130,3012654,7000653.0,1.0,433849718.65455216,0.0,0.0,1000000.0,2170248593.272761,0.01,1.5,0.0,0.0001,0.0,0.0
131,3012821,3022519.0,31177.62646925733,462283125.3458071,0.0,0.0,1000000.0,2312415626.7290354,0.01,1.5,0.0,0.0001,0.0,0.0
132,3013033,3023436.0,12412.456181348214,471203181.53054845,0.0,0.0,1000000.0,2357015907.6527424,0.01,1.5,0.0,0.0001,0.0,0.0
133,3013127,3025112.0,27937.62930628057,475448798.31424,0.0,0.0,1000000.0,2378243991.5712,0.01,1.5,0.0,0.0001,0.0,0.0
134,3013150,3040429.0,22806.25746849893,472712531.3365025,0.0,0.0,1000000.0,2364562656.6825123,0.01,1.5,0.0,0.0001,0.0,0.0
135,3013217,3021339.0,21110.420838872687,475510429.1761441,0.0,0.0,1000000.0,2378552145.8807206,0.01,1.5,0.0,0.0001,0.0,0.0
136,3013237,7007495.0,11462.121575720745,476255502.0411064,0.0,0.0,1000000.0,2382277510.205532,0.01,1.5,0.0,0.0001,0.0,0.0
137,3013512,3027602.0,26024.848128839774,484356121.1516263,0.0,0.0,1000000.0,2422780605.7581315,0.01,1.5,0.0,0.0001,0.0,0.0
138,3013567,3029678.0,9842.29415961562,485662436.84067154,0.0,0.0,1000000.0,2429312184.2033577,0.01,1.5,0.0,0.0001,0.0,0.0
139,3013592,3029245.0,15275.017144587331,488726639.7964475,0.0,0.0,1000000.0,2444633198.982238,0.01,1.5,0.0,0.0001,0.0,0.0
140,3013668,3034966.0,22583.81350713571,492584638.65028286,0.0,0.0,1000000.0,2463923193.2514143,0.01,1.5,0.0,0.0001,0.0,0.0
141,3013678,3025269.0,30072.624071792718,490343348.36453736,0.0,0.0,1000000.0,2452716741.8226867,0.01,1.5,0.0,0.0001,0.0,0.0
142,3013860,3033626.0,33117.438222580124,495661547.75969815,0.0,0.0,1000000.0,2479307738.7984905,0.01,1.5,0.0,0.0001,0.0,0.0
143,3014041,3044176.0,21794.48068296279,497694458.98365,0.0,0.0,1000000.0,2489472294.91825,0.01,1.5,0.0,0.0001,0.0,0.0
144,3014086,3028663.0,17119.033280917156,503386884.7990457,0.0,0.0,1000000.0,2517934423.9952283,0.01,1.5,0.0,0.0001,0.0,0.0
145,3014110,3030155.0,18065.590305811234,506193689.2025527,0.0,0.0,1000000.0,2531968446.0127635,0.01,1.5,0.0,0.0001,0.0,0.0
146,3014155,3044486.0,15937.357364507958,502003439.8645312,0.0,0.0,1000000.0,2511017199.322656,0.01,1.5,0.0,0.0001,0.0,0.0
147,3014180,3026856.0,44158.08446785877,508672010.6613756,0.0,0.0,1000000.0,2544360053.306878,0.01,1.5,0.0,0.0001,0.0,0.0
148,3014228,3028744.0,44793.80393270607,510217508.0978257,0.0,0.0,1000000.0,2552087540.4891286,0.01,1.5,0.0,0.0001,0.0,0.0
149,3014421,3031686.0,41584.92562487782,514876789.7949604,0.0,0.0,1000000.0,2575383948.974802,0.01,1.5,0.0,0.0001,0.0,0.0
150,3014436,3044231.0,24476.827086090885,515744148.3790262,0.0,0.0,1000000.0,2579720741.895131,0.01,1.5,0.0,0.0001,0.0,0.0
